,city,Lattitude,temp,Humidity,Cloudiness,WindSpeed,longitude
273,cabo san lucas,22.89,17.04,77,5,3.1,-109.91
274,hokitika,-42.72,18.51,90,100,1.91,170.97
275,kobelyaky,49.15,0.69,85,100,1.58,34.2
276,kedougou,12.56,21.41,13,65,1.54,-12.17
277,labuhan,-6.88,30.98,65,50,1.51,112.21
278,namasuba,0.69,18.06,96,100,0.95,32.42
279,bismarck,46.81,-2.28,92,90,2.23,-100.78
280,krasnoselkup,65.7,-6.56,94,100,6.01,82.47
281,chernyshevskiy,63.01,-18.03,96,40,1.54,112.47
282,clyde river,70.47,-30.0,67,1,8.7,-68.59
283,ostrovnoy,68.05,-15.03,93,79,2.61,39.51
284,greenwood,34.17,4.1,93,1,1.5,-82.12
285,bundaberg,-24.85,31.05,52,40,5.7,152.35
286,linqiong,30.42,8.0,81,75,2.33,103.46
287,awbari,26.59,12.57,36,75,3.69,12.78
288,hovd,48.01,-10.61,57,37,1.33,91.64
289,lazarev,52.23,-12.57,94,93,1.04,141.51
290,georgetown,5.41,31.63,66,20,4.6,100.34
291,severo-kurilsk,50.68,-4.28,93,87,3.49,156.12
292,ribeira grande,38.52,16.43,96,100,9.53,-28.7
293,svetlyy,54.67,2.0,100,90,5.0,20.13
294,torbay,47.67,-0.14,100,90,2.6,-52.73
295,bilma,18.69,15.78,11,19,3.1,12.92
296,sorong,-0.88,32.32,46,0,2.74,131.25
297,nerchinskiy zavod,51.31,-8.34,70,0,1.35,119.61
298,ternate,0.8,29.91,63,48,3.57,127.4
299,veinticinco de mayo,-35.43,13.01,77,0,3.22,-60.17
300,zheshart,62.07,-26.93,98,52,1.64,49.57
301,seymchan,62.88,-25.51,96,100,2.05,152.43
302,harboore,56.62,5.71,93,100,4.1,8.18
303,vila,42.03,9.92,100,75,1.5,-8.16
304,mangrul pir,20.32,27.33,21,85,5.37,77.35
305,saint george,37.1,5.15,45,1,3.6,-113.58
306,labuan,5.28,30.0,79,75,2.1,115.24
307,san pedro,14.35,31.32,49,20,3.6,121.02
308,alice springs,-23.7,38.0,21,17,7.7,133.88
309,kisesa,-3.08,17.27,97,100,3.22,34.15
